Day;Month;Year;Plot;Subplot;Group;Order;Family;Species;Plant;Plant_Simple;Time;Abundances
1;4;2016;1;E2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;1
1;4;2016;1;E3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;E6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;1
1;4;2016;1;F1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;5
1;4;2016;1;F2;Bees;Hymenoptera;Apidae;Eucera_sp.;LEMA;LEMA;11.30;1
1;4;2016;1;F2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;4
1;4;2016;1;F3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;F4;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;F4;Flies;Diptera;NA;NA;LEMA;LEMA;11.30;1
1;4;2016;1;F5;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;2
1;4;2016;1;F6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11.30;9
1;4;2016;2;A1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13;3
1;4;2016;2;A4;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13;1
1;4;2016;2;A4;Flies;Diptera;NA;NA;ME;ME;13;1
1;4;2016;2;A5;Bees;Hymenoptera;Halictidae;Sphecodes_sp.;ME;ME;13;1
1;4;2016;2;A5;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13;3
1;4;2016;2;A6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13;1
1;4;2016;2;B4;Flies;Diptera;NA;NA;ME;ME;13;3
1;4;2016;2;B6;Flies;Diptera;NA;NA;LEMA;LEMA;13;1
1;4;2016;2;B6;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;13;1
1;4;2016;2;C1;Flies;Diptera;NA;NA;LEMA;LEMA;13;1
1;4;2016;2;E3;Flies;Diptera;Bibionidae;Dilophus_sp.;LEMA;LEMA;13;1
1;4;2016;2;F4;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13;1
1;4;2016;3;A4;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;LEMA;LEMA;13.45;1
1;4;2016;3;B1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.45;1
1;4;2016;3;B2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.45;1
1;4;2016;3;C2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.45;1
1;4;2016;3;C5;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;LEMA;LEMA;13.45;1
1;4;2016;3;C6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.45;1
1;4;2016;3;D2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.45;2
1;4;2016;3;D5;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.45;1
1;4;2016;3;E4;Flies;Diptera;NA;NA;LEMA;LEMA;13.45;1
1;4;2016;3;F5;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.45;2
1;4;2016;4;A6;Beetles;Coleoptera;NA;NA;ME;ME;17.30;1
1;4;2016;4;B6;Butterflies;Lepidoptera;Pieridae;Colias_croceus;ME;ME;17.30;1
1;4;2016;4;C6;Beetles;Coleoptera;NA;NA;ME;ME;17.30;1
1;4;2016;4;E6;Beetles;Coleoptera;NA;NA;LEMA;LEMA;17.30;1
1;4;2016;4;F1;Flies;Diptera;Syrphidae;NA;ME;ME;17.30;1
1;4;2016;5;NA;NA;NA;NA;NA;LEMA;LEMA;17;1
1;4;2016;5;NA;NA;NA;NA;NA;ME;ME;17;1
1;4;2016;6;C3;NA;NA;NA;NA;BEMA;BEMA;16.30;1
1;4;2016;6;C3;NA;NA;NA;NA;LEMA;LEMA;16.30;1
1;4;2016;7;A1;Butterflies;Lepidoptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;A1;Flies;Diptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;A2;Beetles;Coleoptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;A5;Flies;Diptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;B4;Beetles;Coleoptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;C1;Flies;Diptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;D5;Flies;Diptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;E1;Flies;Diptera;Syrphidae;Sphaerophoria_sp.;BEMA;BEMA;15;1
1;4;2016;7;E6;Flies;Diptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;7;F1;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;ME;ME;15;1
1;4;2016;7;F4;Flies;Diptera;NA;NA;BEMA;BEMA;15;1
1;4;2016;8;A4;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;ME;ME;15.30;1
1;4;2016;8;A4;Beetles;Coleoptera;NA;NA;BEMA;BEMA;15.30;1
1;4;2016;8;A4;Beetles;Coleoptera;NA;NA;ME;ME;15.30;1
1;4;2016;8;A4;Flies;Diptera;Tachinidae;NA;ME;ME;15.30;1
1;4;2016;8;C2;Flies;Diptera;Syrphidae;NA;BEMA;BEMA;15.30;1
1;4;2016;8;C3;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;ME;ME;15.30;1
1;4;2016;8;D2;Beetles;Coleoptera;NA;NA;ME;ME;15.30;1
1;4;2016;9;D4;Flies;Diptera;NA;NA;ME;ME;16;1
1;4;2016;9;D6;Beetles;Coleoptera;NA;NA;BEMA;BEMA;16;1
1;4;2016;9;F4;Flies;Diptera;NA;NA;BEMA;BEMA;16;1
1;4;2016;9;F5;Flies;Diptera;Syrphidae;Sphaerophoria_sp.;SPRU;SPRU;16;1
2;3;2016;1;NA;NA;NA;NA;NA;CHFU;CHFU;16.30;1
2;3;2016;2;NA;NA;NA;NA;NA;CHFU;CHFU;16.30;1
2;3;2016;3;C4;Flies;Diptera;NA;NA;CHFU;CHFU;16.30;1
2;3;2016;3;C4;NA;NA;NA;NA;CHFU;CHFU;16.30;1
2;3;2016;3;E2;NA;NA;NA;NA;CHFU;CHFU;16.30;1
2;3;2016;4;B1;Beetles;Coleoptera;Cerambycidae;NA;LEMA;LEMA;12.10;1
2;3;2016;4;C4;Flies;Diptera;Syrphidae;NA;SCLA;SCLA;12.10;1
2;3;2016;4;E1;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;LEMA;LEMA;12.10;1
2;3;2016;4;E1;Beetles;Coleoptera;Cerambycidae;NA;LEMA;LEMA;12.10;1
2;3;2016;4;E2;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;LEMA;LEMA;12.10;1
2;3;2016;4;E3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;12.10;1
2;3;2016;4;F1;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;LEMA;LEMA;12.10;2
2;3;2016;4;F1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;12.10;1
2;3;2016;5;B1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;12.45;1
2;3;2016;5;B2;Beetles;Coleoptera;Cerambycidae;NA;LEMA;LEMA;12.45;1
2;3;2016;5;F3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;12.45;1
2;3;2016;6;A3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.15;1
2;3;2016;6;A3;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;13.15;1
2;3;2016;7;A3;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;13.50;1
2;3;2016;7;B4;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;2
2;3;2016;7;C2;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;1
2;3;2016;7;C3;Flies;Diptera;Syrphidae;Scaeva_sp.;CHFU;CHFU;13.50;1
2;3;2016;7;C3;Flies;Diptera;Syrphidae;Scaeva_sp.;RAPE;RAPE;13.50;1
2;3;2016;7;D1;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;13.50;1
2;3;2016;7;D1;Flies;Diptera;Muscidae;Musca_sp.;CHFU;CHFU;13.50;1
2;3;2016;7;E1;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;2
2;3;2016;7;E2;Flies;Diptera;Muscidae;Musca_sp.;CHFU;CHFU;13.50;1
2;3;2016;7;E2;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;2
2;3;2016;7;E3;Bees;Hymenoptera;Andrenidae;Andrena_sp.;CHFU;CHFU;13.50;1
2;3;2016;7;E4;Bees;Hymenoptera;Andrenidae;Andrena_sp.;CHFU;CHFU;13.50;1
2;3;2016;7;E5;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;13.50;1
2;3;2016;7;E5;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;2
2;3;2016;7;E6;Flies;Diptera;NA;NA;RAPE;RAPE;13.50;1
2;3;2016;7;F3;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;1
2;3;2016;7;F4;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;1
2;3;2016;7;F5;Flies;Diptera;NA;NA;CHFU;CHFU;13.50;1
2;3;2016;8;B4;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;14.59;1
2;3;2016;8;B5;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;14.59;1
2;3;2016;8;B5;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;RAPE;RAPE;14.59;1
2;3;2016;8;B5;Flies;Diptera;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;8;C3;Beetles;Coleoptera;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;8;C5;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;14.59;1
2;3;2016;8;D1;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;14.59;1
2;3;2016;8;D4;Flies;Diptera;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;8;D5;Bees;Hymenoptera;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;8;D5;Flies;Diptera;NA;NA;CHFU;CHFU;14.59;2
2;3;2016;8;D5;Flies;Diptera;Syrphidae;Scaeva_sp.;CHFU;CHFU;14.59;1
2;3;2016;8;D5;NA;NA;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;8;D6;Flies;Diptera;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;8;E1;Flies;Diptera;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;8;E2;Flies;Diptera;NA;NA;CHFU;CHFU;14.59;1
2;3;2016;9;B4;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;1
2;3;2016;9;B6;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;1
2;3;2016;9;C4;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;1
2;3;2016;9;D1;Flies;Diptera;NA;NA;CHFU;CHFU;15.40;1
2;3;2016;9;D5;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;2
2;3;2016;9;E1;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;1
2;3;2016;9;E3;Bees;Hymenoptera;Andrenidae;Andrena_sp.;CHFU;CHFU;15.40;1
2;3;2016;9;E4;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;1
2;3;2016;9;E4;Bees;Hymenoptera;Andrenidae;Andrena_sp.;CHFU;CHFU;15.40;1
2;3;2016;9;E4;Bees;Hymenoptera;Andrenidae;NA;CHFU;CHFU;15.40;1
2;3;2016;9;E4;NA;NA;NA;NA;CHFU;CHFU;15.40;1
2;3;2016;9;E5;Flies;Diptera;NA;NA;CHFU;CHFU;15.40;2
2;3;2016;9;F3;Flies;Diptera;NA;NA;CHFU;CHFU;15.40;1
2;3;2016;9;F4;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;1
2;3;2016;9;F4;NA;NA;NA;NA;CHFU;CHFU;15.40;1
2;3;2016;9;F5;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;1
2;3;2016;9;F5;Flies;Diptera;NA;NA;SPRU;SPRU;15.40;3
2;3;2016;9;F6;Bees;Hymenoptera;Andrenidae;Andrena_cinerea_elliptica;CHFU;CHFU;15.40;3
2;3;2016;9;F6;Flies;Diptera;NA;NA;CHFU;CHFU;15.40;2
2;4;2019;1;A4;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;14;1
2;4;2019;1;B1;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;14;1
2;4;2019;1;C1;Flies;Diptera;Muscidae;NA;LEMA;LEMA;14;1
2;4;2019;1;C5;Flies;Diptera;Syrphidae;Eupeodes_corollae;LEMA;LEMA;14;1
2;4;2019;1;D2;Flies;Diptera;Muscidae;NA;ME;ME;14;1
2;4;2019;1;E2;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;14;1
2;4;2019;1;E2;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;14;1
2;4;2019;1;F6;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;14;2
2;4;2019;2;A1;Flies;Diptera;NA;NA;LEMA;LEMA;14;1
2;4;2019;2;A1;Flies;Diptera;Syrphidae;Eupeodes_corollae;LEMA;LEMA;14;1
2;4;2019;2;B1;Flies;Diptera;NA;NA;ME;ME;14;1
2;4;2019;2;D1;Flies;Diptera;NA;NA;CHFU;CHFU;14;1
2;4;2019;2;E2;Flies;Diptera;NA;NA;ME;ME;14;1
2;4;2019;2;E2;Flies;Diptera;Syrphidae;Eupeodes_corollae;LEMA;LEMA;14;1
2;4;2019;2;E4;Flies;Diptera;NA;NA;ME;ME;14;1
2;4;2019;3;B1;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;14;1
2;4;2019;3;C3;Flies;Diptera;NA;NA;ME;ME;14;1
2;4;2019;3;D2;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;14;1
2;4;2019;3;E3;Flies;Diptera;NA;NA;ME;ME;14;1
2;4;2019;3;E3;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;14;1
2;4;2019;3;E4;Flies;Diptera;NA;NA;LEMA;LEMA;14;1
2;4;2019;3;E4;Flies;Diptera;NA;NA;ME;ME;14;1
2;4;2019;3;F3;Beetles;Coleoptera;Nitidulidae;Meligethes_sp.;LEMA;LEMA;14;1
2;4;2019;3;F4;Flies;Diptera;NA;NA;ME;ME;14;1
2;4;2019;4;A1;Flies;Diptera;Stratiomyidae;Odontomyia_sp.;LEMA;LEMA;13.29;1
2;4;2019;4;A2;Beetles;Coleoptera;Nitidulidae;Meligethes_sp.;LEMA;LEMA;13.29;1
2;4;2019;4;A2;Flies;Diptera;Stratiomyidae;Nemotelus_sp.;LEMA;LEMA;13.29;1
2;4;2019;4;B2;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;13.29;1
2;4;2019;4;C4;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;13.29;2
2;4;2019;4;C5;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;13.29;1
2;4;2019;4;E2;Flies;Diptera;Syrphidae;NA;LEMA;LEMA;13.29;1
2;4;2019;4;E4;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.29;1
2;4;2019;4;E5;Flies;Diptera;Stratiomyidae;Nemotelus_sp.;LEMA;LEMA;13.29;1
2;4;2019;4;F1;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.29;1
2;4;2019;5;A2;Beetles;Coleoptera;NA;NA;LEMA;LEMA;13.29;1
2;4;2019;5;A2;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.29;1
2;4;2019;5;D2;Flies;Diptera;Syrphidae;Eupeodes_corollae;LEMA;LEMA;13.29;1
2;4;2019;6;B2;Beetles;Coleoptera;Nitidulidae;Meligethes_sp.;LEMA;LEMA;13.29;1
2;4;2019;6;C4;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;13.29;2
2;4;2019;6;D1;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.29;1
2;4;2019;6;D3;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.29;1
2;4;2019;6;F4;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.29;1
2;4;2019;7;A5;Flies;Diptera;Syrphidae;Eupeodes_corollae;LEMA;LEMA;13.05;1
2;4;2019;7;B3;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;13.05;1
2;4;2019;7;C1;Flies;Diptera;NA;NA;LEMA;LEMA;13.05;1
2;4;2019;7;C1;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.05;1
2;4;2019;7;D1;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;13.05;1
2;4;2019;7;E2;Flies;Diptera;Muscidae;NA;ME;ME;13.05;2
2;4;2019;7;F2;Flies;Diptera;Bibionidae;Dilophus_sp.;LEMA;LEMA;13.05;1
2;4;2019;7;F3;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;13.05;1
2;4;2019;7;F4;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;13.05;1
2;4;2019;8;A3;Flies;Diptera;NA;NA;LEMA;LEMA;12.49;1
2;4;2019;8;A3;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;12.49;1
2;4;2019;8;B3;Beetles;Coleoptera;Nitidulidae;Meligethes_sp.;LEMA;LEMA;12.49;1
2;4;2019;8;B4;Flies;Diptera;Bibionidae;Dilophus_sp.;LEMA;LEMA;12.49;1
2;4;2019;8;C2;Bees;Hymenoptera;Apoidea;NA;LEMA;LEMA;12.49;1
2;4;2019;8;C2;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;12.49;1
2;4;2019;8;C4;Beetles;Coleoptera;Nitidulidae;Meligethes_sp.;LEMA;LEMA;12.49;1
2;4;2019;8;C5;Flies;Diptera;NA;NA;ME;ME;12.49;1
2;4;2019;8;D4;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;12.49;1
2;4;2019;8;F1;Beetles;Coleoptera;Nitidulidae;Meligethes_sp.;LEMA;LEMA;12.49;1
2;4;2019;9;D5;Flies;Diptera;Muscidae;NA;ME;ME;12.49;1
2;4;2019;9;E3;Flies;Diptera;Syrphidae;Sphaerophoria_scripta;LEMA;LEMA;12.49;1
2;4;2019;9;E6;Flies;Diptera;Muscidae;NA;ME;ME;12.49;1
2;4;2019;9;F4;Flies;Diptera;Muscidae;NA;ME;ME;12.49;1
5;5;2016;1;A3;Bees;Hymenoptera;Megachilidae;Osmia_submicans;LEMA;LEMA;11;1
5;5;2016;1;B2;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;LEMA;LEMA;11;1
5;5;2016;1;C1;Bees;Hymenoptera;Megachilidae;Osmia_submicans;LEMA;LEMA;11;1
5;5;2016;1;C3;Bees;Hymenoptera;Megachilidae;Osmia_submicans;LEMA;LEMA;11;1
5;5;2016;1;C3;Beetles;Coleoptera;NA;NA;LEMA;LEMA;11;1
5;5;2016;1;D5;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;LEMA;LEMA;11;1
5;5;2016;1;D6;Bees;Hymenoptera;Halictidae;Lasioglossum_sp.;LEMA;LEMA;11;1
5;5;2016;2;C1;Beetles;Coleoptera;NA;NA;LEMA;LEMA;12;1
5;5;2016;2;F1;Butterflies;Lepidoptera;NA;NA;Medicago;Medicago;12;1
5;5;2016;3;D6;Bees;Hymenoptera;Andrenidae;NA;ME;ME;12.45;2
5;5;2016;3;E5;Bees;Hymenoptera;Andrenidae;NA;LEMA;LEMA;12.45;3
5;5;2016;4;E3;Butterflies;Lepidoptera;Pieridae;Colias_croceus;ME;ME;12.45;1
5;5;2016;4;F1;Bees;Hymenoptera;Andrenidae;NA;ME;ME;12.45;1
5;5;2016;7;A4;Butterflies;Lepidoptera;Pieridae;Colias_croceus;PUPA;PUPA;14.15;1
5;5;2016;7;F6;Bees;Hymenoptera;Andrenidae;NA;PUPA;PUPA;14.15;2
5;5;2016;7;F6;Flies;Diptera;Bombyliidae;NA;PUPA;PUPA;14.15;2
5;5;2016;8;A3;Butterflies;Lepidoptera;NA;NA;BEMA;BEMA;15;3
5;5;2016;8;B2;Butterflies;Lepidoptera;NA;NA;ME;ME;15;1
5;5;2016;8;B5;Bees;Hymenoptera;Megachilidae;Osmia_ligurica;PUPA;PUPA;15;1
5;5;2016;8;B6;Bees;Hymenoptera;Megachilidae;Osmia_ligurica;PUPA;PUPA;15;1
